Species,Tube,Heat.Treatment,Nutrient.Treatment,Treatment,Day.0,Day.1,Day.2,Day.3,Day.4,Day.5,Month,Final.Survivorship
Lobactis scutaria,1,Ambient,Control,AC,40,13,9,9,5,4,1,0.1
Lobactis scutaria,2,Ambient,Control,AC,40,20,15,11,10,9,1,0.225
Lobactis scutaria,3,Ambient,Control,AC,40,19,13,13,12,12,1,0.3
Lobactis scutaria,4,Ambient,Control,AC,40,22,18,13,11,7,1,0.175
Lobactis scutaria,5,Ambient,Control,AC,40,6,5,4,3,2,1,0.05
Lobactis scutaria,1,Ambient,Control,AC,40,27,20,16,12,NA,2,0.3
Lobactis scutaria,2,Ambient,Control,AC,40,23,16,15,14,NA,2,0.35
Lobactis scutaria,3,Ambient,Control,AC,40,16,12,8,6,NA,2,0.15
Lobactis scutaria,4,Ambient,Control,AC,40,25,16,14,12,NA,2,0.3
Lobactis scutaria,5,Ambient,Control,AC,40,25,21,19,14,NA,2,0.35
Lobactis scutaria,11,Ambient,Nitrate,AN,40,19,16,16,16,13,1,0.325
Lobactis scutaria,12,Ambient,Nitrate,AN,40,16,12,10,9,9,1,0.225
Lobactis scutaria,13,Ambient,Nitrate,AN,40,18,16,14,13,12,1,0.3
Lobactis scutaria,14,Ambient,Nitrate,AN,40,23,23,20,16,16,1,0.4
Lobactis scutaria,15,Ambient,Nitrate,AN,40,20,15,14,14,6,1,0.15
Lobactis scutaria,11,Ambient,Nitrate,AN,40,23,11,8,7,NA,2,0.175
Lobactis scutaria,12,Ambient,Nitrate,AN,40,21,6,6,6,NA,2,0.15
Lobactis scutaria,13,Ambient,Nitrate,AN,40,20,11,9,9,NA,2,0.225
Lobactis scutaria,14,Ambient,Nitrate,AN,40,21,10,8,7,NA,2,0.175
Lobactis scutaria,15,Ambient,Nitrate,AN,40,27,12,9,6,NA,2,0.15
Lobactis scutaria,31,Ambient,Nitrate and Phosphate,ANP,40,23,14,10,6,5,1,0.125
Lobactis scutaria,32,Ambient,Nitrate and Phosphate,ANP,40,22,18,15,10,9,1,0.225
Lobactis scutaria,33,Ambient,Nitrate and Phosphate,ANP,40,13,11,11,11,9,1,0.225
Lobactis scutaria,34,Ambient,Nitrate and Phosphate,ANP,40,30,26,23,22,17,1,0.425
Lobactis scutaria,35,Ambient,Nitrate and Phosphate,ANP,40,40,36,33,23,12,1,0.3
Lobactis scutaria,31,Ambient,Nitrate and Phosphate,ANP,40,21,12,8,5,NA,2,0.125
Lobactis scutaria,32,Ambient,Nitrate and Phosphate,ANP,40,24,12,11,9,NA,2,0.225
Lobactis scutaria,33,Ambient,Nitrate and Phosphate,ANP,40,22,16,11,9,NA,2,0.225
Lobactis scutaria,34,Ambient,Nitrate and Phosphate,ANP,40,25,19,14,8,NA,2,0.2
Lobactis scutaria,35,Ambient,Nitrate and Phosphate,ANP,40,22,14,11,8,NA,2,0.2
Lobactis scutaria,21,Ambient,Phosphate,AP,40,27,23,23,18,14,1,0.35
Lobactis scutaria,22,Ambient,Phosphate,AP,40,20,17,15,12,10,1,0.25
Lobactis scutaria,23,Ambient,Phosphate,AP,40,29,29,26,21,13,1,0.325
Lobactis scutaria,24,Ambient,Phosphate,AP,40,16,12,9,8,7,1,0.175
Lobactis scutaria,25,Ambient,Phosphate,AP,40,23,20,17,14,12,1,0.3
Lobactis scutaria,21,Ambient,Phosphate,AP,40,27,18,13,9,NA,2,0.225
Lobactis scutaria,22,Ambient,Phosphate,AP,40,28,16,12,6,NA,2,0.15
